horizon_ns,optimizer_cost,nominal_cost,nominal_fidelity,nominal_leakage,nominal_leakage_boundary,nominal_leakage_integral,nominal_boundary_cost,nominal_time_cost,nominal_time_ns
40.0,3.6716287935373577,3.2147335565428024,0.7255361814879608,0.0004281129725105,6.713325924048754e-05,0.00036097971327,0.3991475750306378,0.0666666666666666,40.0
50.0,2.5754641240393714,1.62516378265671,0.8818353565020522,0.0003497922274645,3.850527890999812e-05,0.0003112869485545,0.3566860920692541,0.0833333333333333,50.0
60.0,1.969029084819902,0.3806386581722285,0.9820504068885064,0.0003670276409807,2.3049979173682917e-05,0.000343977661807,0.097472450647485,0.1,60.0
70.0,2.203889913927636,0.1575751618013395,0.9966196279490416,0.0002824037569533,2.0843177999595864e-05,0.0002615605789537,0.0042807370555559,0.1166666666666666,70.0
80.0,2.439383303603359,0.2424281346603596,0.9907281799796492,0.0001690375005285,1.9791103293898345e-05,0.0001492463972346,0.0146862261182318,0.1333333333333333,80.0
90.0,2.830707535477966,0.2055942619384842,0.9955162782794033,0.0001614780247902,1.9680268015356963e-05,0.0001417977567749,0.0091422644846127,0.15,90.0
100.0,3.227033811595745,0.2545003984135104,0.9921056581485396,0.0001816581574544,3.054426252124592e-05,0.0001511138949331,0.0070737316576941,0.1666666666666666,100.0
110.0,3.619669819401228,0.2963810700856191,0.9914042062385215,0.0001012868417053,1.5080862300351262e-05,8.620597940500395e-05,0.0260769307204487,0.1833333333333333,110.0
120.0,4.21649103106764,0.334600561155798,0.9902287794749688,9.40252996992378e-05,1.5081848999068514e-05,7.894345070016929e-05,0.0359481029084935,0.2,120.0
130.0,4.335489071659822,0.3448132452924869,0.9936034533898128,8.13001210026144e-05,1.663933444365214e-05,6.466078655896227e-05,0.0633681113139233,0.2166666666666666,130.0
140.0,4.854475152145735,0.5551921242093926,0.9730400784567976,7.108885564974522e-05,1.418523651036418e-05,5.690361913938105e-05,0.0515486868875379,0.2333333333333333,140.0
150.0,5.241296132236689,0.2850629980606206,0.9970831039982396,6.816018166600158e-05,1.4466081479471677e-05,5.369410018652989e-05,0.0052124362263568,0.25,150.0
160.0,5.744134906645276,0.6882155001947259,0.9602722031574856,0.0001190366237169,2.341829684063321e-05,9.561832687631122e-05,0.023080498865746,0.2666666666666666,160.0
170.0,6.034563762782043,0.5195091126340098,0.97782782968058,0.000137679200506,1.1302957725279988e-05,0.0001263762427808,0.0130772841014144,0.2833333333333334,170.0
180.0,6.424567731510534,0.410248229876098,0.989618622686888,9.933681070872968e-05,1.9177780949918905e-05,8.015902975881077e-05,0.00544108863789,0.3,180.0
